,N,we_nS,fr_Hz,factor
0,10,2.8388433391955425,3.9899999999999998,3.434497376231725
1,20,1.8562411524500906,4.0,2.626275144027158
2,45,1.0528969969815958,4.01,2.0578144613176623
3,100,0.5869512322815138,4.0,1.6611260806287396
4,200,0.335195105815085,4.01,1.4543768436432247
5,400,0.1838842097772617,3.999999999999999,1.3255624302665985
6,800,0.10029947509611982,4.0,1.215111045029934
7,1600,0.05584664628339296,4.01,1.0911577338193879
8,3200,0.029045602153432517,3.999999999999999,1.048997016451914
9,6500,0.015035909469464693,3.999999999999999,0.9976117527484706
